STRUCT,Info,3,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon Phi(TM) CPU 7250 @ 1.40GHz,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Phi (Knights Landing) (Co)Processor,,,,,,,,,,,,,,,,
CPU clock:,1.399816294 GHz,,,,,,,,,,,,,,,,
TABLE,Region MMUL_Region,Group 1 Raw,HBM_CACHE,47,,,,,,,,,,,,,
Region Info,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,
RDTSC Runtime [s],0.000636,0.001100,0.000696,0.000767,0.001342,0.001020,0.000844,0.001702,0.001555,0.001414,0.000931,0.001778,0.001483,0.001273,0.001195,0.000618,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15
MC_CAS_WRITES,MBOX4C1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_CAS_READS,MBOX5C0,1405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_CAS_WRITES,MBOX5C1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_CAS_READS,MBOX6C0,1406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_CAS_WRITES,MBOX6C1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TABLE,Region MMUL_Region,Group 1 Raw STAT,HBM_CACHE,47,,,,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,2.767011e+20,20905770,1.844674e+19,1.729382e+19,,,,,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2.767011e+20,15983040,1.844674e+19,1.729382e+19,,,,,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,2.767011e+20,28704860,1.844674e+19,1.729382e+19,,,,,,,,,,,,
EDC_RPQ_INSERTS STAT,EDBOX0C0,16301,0,16301,1018.8125,,,,,,,,,,,,
EDC_RPQ_INSERTS STAT,EDBOX1C0,12740,0,12740,796.2500,,,,,,,,,,,,
EDC_RPQ_INSERTS STAT,EDBOX2C0,16301,0,16301,1018.8125,,,,,,,,,,,,
EDC_RPQ_INSERTS STAT,EDBOX3C0,12593,0,12593,787.0625,,,,,,,,,,,,
EDC_RPQ_INSERTS STAT,EDBOX4C0,16063,0,16063,1003.9375,,,,,,,,,,,,
EDC_RPQ_INSERTS STAT,EDBOX5C0,12510,0,12510,781.8750,,,,,,,,,,,,
EDC_RPQ_INSERTS STAT,EDBOX6C0,16107,0,16107,1006.6875,,,,,,,,,,,,
EDC_RPQ_INSERTS STAT,EDBOX7C0,12383,0,12383,773.9375,,,,,,,,,,,,
EDC_WPQ_INSERTS STAT,EDBOX0C1,3648,0,3648,228,,,,,,,,,,,,
EDC_WPQ_INSERTS STAT,EDBOX1C1,3625,0,3625,226.5625,,,,,,,,,,,,
EDC_WPQ_INSERTS STAT,EDBOX2C1,5174,0,5174,323.3750,,,,,,,,,,,,
EDC_WPQ_INSERTS STAT,EDBOX3C1,3002,0,3002,187.6250,,,,,,,,,,,,
EDC_WPQ_INSERTS STAT,EDBOX4C1,4239,0,4239,264.9375,,,,,,,,,,,,
EDC_WPQ_INSERTS STAT,EDBOX5C1,3360,0,3360,210,,,,,,,,,,,,
EDC_WPQ_INSERTS STAT,EDBOX6C1,5498,0,5498,343.6250,,,,,,,,,,,,
EDC_WPQ_INSERTS STAT,EDBOX7C1,3001,0,3001,187.5625,,,,,,,,,,,,
EDC_MISS_CLEAN STAT,EUBOX0C0,24,0,24,1.5000,,,,,,,,,,,,
EDC_MISS_CLEAN STAT,EUBOX1C0,20,0,20,1.2500,,,,,,,,,,,,
EDC_MISS_CLEAN STAT,EUBOX2C0,20,0,20,1.2500,,,,,,,,,,,,
EDC_MISS_CLEAN STAT,EUBOX3C0,25,0,25,1.5625,,,,,,,,,,,,
EDC_MISS_CLEAN STAT,EUBOX4C0,21,0,21,1.3125,,,,,,,,,,,,
EDC_MISS_CLEAN STAT,EUBOX5C0,23,0,23,1.4375,,,,,,,,,,,,
EDC_MISS_CLEAN STAT,EUBOX6C0,28,0,28,1.7500,,,,,,,,,,,,
EDC_MISS_CLEAN STAT,EUBOX7C0,18,0,18,1.1250,,,,,,,,,,,,
EDC_MISS_DIRTY STAT,EUBOX0C1,13,0,13,0.8125,,,,,,,,,,,,
EDC_MISS_DIRTY STAT,EUBOX1C1,5,0,5,0.3125,,,,,,,,,,,,
EDC_MISS_DIRTY STAT,EUBOX2C1,16,0,16,1,,,,,,,,,,,,
EDC_MISS_DIRTY STAT,EUBOX3C1,7,0,7,0.4375,,,,,,,,,,,,
EDC_MISS_DIRTY STAT,EUBOX4C1,17,0,17,1.0625,,,,,,,,,,,,
EDC_MISS_DIRTY STAT,EUBOX5C1,11,0,11,0.6875,,,,,,,,,,,,
EDC_MISS_DIRTY STAT,EUBOX6C1,11,0,11,0.6875,,,,,,,,,,,,
EDC_MISS_DIRTY STAT,EUBOX7C1,9,0,9,0.5625,,,,,,,,,,,,
MC_CAS_READS STAT,MBOX0C0,1408,0,1408,88,,,,,,,,,,,,
MC_CAS_WRITES STAT,MBOX0C1,15,0,15,0.9375,,,,,,,,,,,,
MC_CAS_READS STAT,MBOX1C0,1402,0,1402,87.6250,,,,,,,,,,,,
MC_CAS_WRITES STAT,MBOX1C1,21,0,21,1.3125,,,,,,,,,,,,
MC_CAS_READS STAT,MBOX2C0,1411,0,1411,88.1875,,,,,,,,,,,,
MC_CAS_WRITES STAT,MBOX2C1,15,0,15,0.9375,,,,,,,,,,,,
MC_CAS_READS STAT,MBOX4C0,1409,0,1409,88.0625,,,,,,,,,,,,
MC_CAS_WRITES STAT,MBOX4C1,18,0,18,1.1250,,,,,,,,,,,,
MC_CAS_READS STAT,MBOX5C0,1405,0,1405,87.8125,,,,,,,,,,,,
MC_CAS_WRITES STAT,MBOX5C1,14,0,14,0.8750,,,,,,,,,,,,
MC_CAS_READS STAT,MBOX6C0,1406,0,1406,87.8750,,,,,,,,,,,,
MC_CAS_WRITES STAT,MBOX6C1,17,0,17,1.0625,,,,,,,,,,,,
TABLE,Region MMUL_Region,Group 1 Metric,HBM_CACHE,16,,,,,,,,,,,,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,
Runtime (RDTSC) [s],0.0006,0.0011,0.0007,0.0008,0.0013,0.0010,0.0008,0.0017,0.0016,0.0014,0.0009,0.0018,0.0015,0.0013,0.0012,0.0006,
Runtime unhalted [s],0.0114,1.317797e+10,1.317797e+10,1.317797e+10,1.317797e+10,1.317797e+10,1.317797e+10,1.317797e+10,1.317797e+10,1.317797e+10,1.317797e+10,1.317797e+10,1.317797e+10,1.317797e+10,1.317797e+10,1.317797e+10,
Clock [MHz],779.4262,1399.8163,1399.8163,1399.8163,1399.8163,1399.8163,1399.8163,1399.8163,1399.8163,1399.8163,1399.8163,1399.8163,1399.8163,1399.8163,1399.8163,1399.8163,
CPI,0.7645,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
MCDRAM Memory read bandwidth [MBytes/s],11549.3847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MCDRAM Memory read data volume [GBytes],0.0073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MCDRAM Memory writeback bandwidth [MBytes/s],2325.9835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MCDRAM Memory writeback data volume [GBytes],0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MCDRAM Memory bandwidth [MBytes/s],13875.3682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MCDRAM Memory data volume [GBytes],0.0088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DDR Memory read bandwidth [MBytes/s],849.7198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DDR Memory read data volume [GBytes],0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DDR Memory writeback bandwidth [MBytes/s],10.0666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DDR Memory writeback data volume [GBytes],6.400000e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DDR Memory bandwidth [MBytes/s],859.7864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DDR Memory data volume [GBytes],0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TABLE,Region MMUL_Region,Group 1 Metric STAT,HBM_CACHE,16,,,,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,,,,,
Runtime (RDTSC) [s] STAT,0.0183,0.0006,0.0018,0.0011,,,,,,,,,,,,,
Runtime unhalted [s] STAT,1.976696e+11,0.0114,13177970000,1.235435e+10,,,,,,,,,,,,,
Clock [MHz] STAT,21776.6707,779.4262,1399.8163,1361.0419,,,,,,,,,,,,,
CPI STAT,15.7645,0.7645,1,0.9853,,,,,,,,,,,,,
MCDRAM Memory read bandwidth [MBytes/s] STAT,11549.3847,0,11549.3847,721.8365,,,,,,,,,,,,,
MCDRAM Memory read data volume [GBytes] STAT,0.0073,0,0.0073,0.0005,,,,,,,,,,,,,
MCDRAM Memory writeback bandwidth [MBytes/s] STAT,2325.9835,0,2325.9835,145.3740,,,,,,,,,,,,,
MCDRAM Memory writeback data volume [GBytes] STAT,0.0015,0,0.0015,0.0001,,,,,,,,,,,,,
MCDRAM Memory bandwidth [MBytes/s] STAT,13875.3682,0,13875.3682,867.2105,,,,,,,,,,,,,
MCDRAM Memory data volume [GBytes] STAT,0.0088,0,0.0088,0.0006,,,,,,,,,,,,,
DDR Memory read bandwidth [MBytes/s] STAT,849.7198,0,849.7198,53.1075,,,,,,,,,,,,,
DDR Memory read data volume [GBytes] STAT,0.0005,0,0.0005,3.125000e-05,,,,,,,,,,,,,
DDR Memory writeback bandwidth [MBytes/s] STAT,10.0666,0,10.0666,0.6292,,,,,,,,,,,,,
DDR Memory writeback data volume [GBytes] STAT,6.400000e-06,0,6.400000e-06,4.000000e-07,,,,,,,,,,,,,
DDR Memory bandwidth [MBytes/s] STAT,859.7864,0,859.7864,53.7366,,,,,,,,,,,,,
DDR Memory data volume [GBytes] STAT,0.0005,0,0.0005,3.125000e-05,,,,,,,,,,,,,
