STRUCT,Info,3,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon Phi(TM) CPU 7250 @ 1.40GHz,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Phi (Knights Landing) (Co)Processor,,,,,,,,,,,,,,,,
CPU clock:,1.399950092 GHz,,,,,,,,,,,,,,,,
TABLE,Region MMUL_Region,Group 1 Raw,HBM_CACHE,47,,,,,,,,,,,,,
Region Info,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,
RDTSC Runtime [s],0.000613,0.001990,0.002311,0.002382,0.002078,0.002624,0.001475,0.001914,0.001752,0.002155,0.001670,0.002554,0.003022,0.002229,0.002474,0.001836,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15
MC_CAS_WRITES,MBOX4C1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_CAS_READS,MBOX5C0,1451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_CAS_WRITES,MBOX5C1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_CAS_READS,MBOX6C0,1451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_CAS_WRITES,MBOX6C1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TABLE,Region MMUL_Region,Group 1 Raw STAT,HBM_CACHE,47,,,,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,2.582544e+20,19166330,1.844674e+19,1.614090e+19,,,,,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2.767011e+20,15820810,1.844674e+19,1.729382e+19,,,,,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,2.767011e+20,28457700,1.844674e+19,1.729382e+19,,,,,,,,,,,,
EDC_RPQ_INSERTS STAT,EDBOX0C0,11301,0,11301,706.3125,,,,,,,,,,,,
EDC_RPQ_INSERTS STAT,EDBOX1C0,8863,0,8863,553.9375,,,,,,,,,,,,
EDC_RPQ_INSERTS STAT,EDBOX2C0,11359,0,11359,709.9375,,,,,,,,,,,,
EDC_RPQ_INSERTS STAT,EDBOX3C0,8821,0,8821,551.3125,,,,,,,,,,,,
EDC_RPQ_INSERTS STAT,EDBOX4C0,11080,0,11080,692.5000,,,,,,,,,,,,
