STRUCT,Info,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon Phi(TM) CPU 7250 @ 1.40GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Phi (Knights Landing) (Co)Processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU clock:,1.399985668 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE,Region MMUL_Region,Group 1 Raw,HBM_CACHE,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Info,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63,
RDTSC Runtime [s],3.777524,3.758251,3.764039,3.784313,3.786389,3.772419,3.755720,3.766846,3.755091,3.783531,3.774726,3.775198,3.769448,3.765811,3.762859,3.783099,3.779241,3.759340,3.785195,3.772919,3.756465,3.767392,3.771189,3.773417,3.780957,3.761195,3.776121,3.757591,3.777565,3.777997,3.760653,3.777141,3.757030,3.773896,3.765300,3.769045,3.767871,3.775716,3.781396,3.781822,3.782308,3.785647,3.785999,3.782696,3.758804,3.780603,3.780082,3.762305,3.774363,3.763503,3.766359,3.779698,3.776616,3.783941,3.759956,3.769869,3.770784,3.770293,3.768429,3.771666,3.764700,3.778874,3.784787,3.761797,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,HWThread 16,HWThread 17,HWThread 18,HWThread 19,HWThread 20,HWThread 21,HWThread 22,HWThread 23,HWThread 24,HWThread 25,HWThread 26,HWThread 27,HWThread 28,HWThread 29,HWThread 30,HWThread 31,HWThread 32,HWThread 33,HWThread 34,HWThread 35,HWThread 36,HWThread 37,HWThread 38,HWThread 39,HWThread 40,HWThread 41,HWThread 42,HWThread 43,HWThread 44,HWThread 45,HWThread 46,HWThread 47,HWThread 48,HWThread 49,HWThread 50,HWThread 51,HWThread 52,HWThread 53,HWThread 54,HWThread 55,HWThread 56,HWThread 57,HWThread 58,HWThread 59,HWThread 60,HWThread 61,HWThread 62,HWThread 63
INSTR_RETIRED_ANY,FIXC0,34382660000,66541980000,62493870000,63887780000,62094070000,58026040000,64368570000,65005560000,57810060000,62827710000,66493050000,66412340000,65288920000,65186630000,64615580000,64892040000,65486450000,65084070000,59323110000,59240160000,66440760000,66532950000,62044880000,65703910000,64886470000,62285280000,65470450000,64960450000,64466010000,59543570000,61399890000,56828820000,65704720000,63899390000,64285590000,65508910000,61813550000,64795040000,61292880000,61137490000,63251240000,64173910000,62067970000,63814670000,60652720000,61311010000,63208080000,62255930000,59228470000,57052640000,63257110000,63494350000,61129910000,61215110000,63556700000,63715990000,63421830000,63515810000,66472140000,66224020000,64208570000,58172820000,61317360000,63423380000
CPU_CLK_UNHALTED_CORE,FIXC1,73733750000,384594400000,382709700000,389421600000,384036000000,383838700000,382855600000,382690200000,388293800000,389544300000,387811100000,387821800000,387786400000,387618400000,387422500000,386866500000,387792600000,387334300000,385213100000,383312900000,387242500000,387279000000,388689800000,387819000000,387646000000,382998000000,387718400000,387388700000,388113100000,383723000000,387218600000,388657500000,387265700000,388322800000,387843100000,388276700000,389693500000,387979500000,388160000000,389408600000,390248400000,388562400000,388721900000,387088100000,388292300000,388306900000,387682800000,387429700000,388224500000,388568200000,387363300000,387911600000,388258300000,386932000000,387425900000,388173900000,389164900000,387724700000,387545400000,387699700000,387964800000,388241000000,385734600000,392383500000
CPU_CLK_UNHALTED_REF,FIXC2,68716590000,360879600000,361892600000,366585300000,365825900000,363498200000,361636600000,362029700000,365849400000,365963100000,365678200000,365683000000,365562100000,365345900000,364965700000,365849200000,365930400000,364747000000,365790000000,362900300000,364521000000,365029900000,366637900000,365688400000,366103300000,362099500000,365747300000,364807800000,366117700000,363795200000,364893500000,367056500000,364639100000,366259200000,365590600000,365654500000,366600900000,365961900000,366020200000,366016000000,366451700000,365790500000,366038800000,365963500000,365889100000,367033800000,365930800000,365023000000,366284900000,366386500000,365252300000,366067600000,366621200000,366357900000,364898300000,365535800000,366111800000,365562000000,365275100000,365541500000,365687900000,366567600000,365592300000,368057100000
EDC_RPQ_INSERTS,EDBOX0C0,1330503000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX1C0,1332700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX2C0,1330521000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX3C0,1332598000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
