STRUCT,Info,3,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon Phi(TM) CPU 7250 @ 1.40GHz,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Phi (Knights Landing) (Co)Processor,,,,,,,,,,,,,,,,
CPU clock:,1.399986172 GHz,,,,,,,,,,,,,,,,
TABLE,Region MMUL_Region,Group 1 Raw,HBM_CACHE,47,,,,,,,,,,,,,
Region Info,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,
RDTSC Runtime [s],14.161940,14.161960,14.163000,14.162720,14.162310,14.161930,14.162150,14.162220,14.162650,14.161750,14.162770,14.162850,14.162510,14.162590,14.162100,14.162320,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15
INSTR_RETIRED_ANY,FIXC0,56494230000,59321340000,60783380000,60781060000,58555820000,59274500000,60884820000,60900810000,59046690000,58491470000,59540390000,60329650000,59683090000,59630270000,60947430000,61148000000
CPU_CLK_UNHALTED_CORE,FIXC1,242731900000,336064900000,333228600000,333743200000,333810000000,333731400000,333713400000,333729100000,333876600000,333611300000,333551600000,333511800000,333833700000,333639800000,333821500000,335658500000
CPU_CLK_UNHALTED_REF,FIXC2,226722700000,314206500000,312247600000,312502500000,312511200000,312457600000,312441200000,312450500000,312586200000,312357400000,312382700000,312404700000,312540800000,312388200000,312520800000,314427900000
EDC_RPQ_INSERTS,EDBOX0C0,1348012000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX1C0,1346869000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX2C0,1348146000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX3C0,1346709000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX4C0,1347902000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX5C0,1346898000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX6C0,1348113000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX7C0,1346797000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX0C1,3708982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX1C1,1490133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX2C1,3726958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX3C1,1480826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX4C1,3692175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX5C1,1487542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX6C1,3649047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX7C1,1504604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_MISS_CLEAN,EUBOX0C0,34237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_MISS_CLEAN,EUBOX1C0,24308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_MISS_CLEAN,EUBOX2C0,27816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_MISS_CLEAN,EUBOX3C0,26616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_MISS_CLEAN,EUBOX4C0,28774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_MISS_CLEAN,EUBOX5C0,27375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_MISS_CLEAN,EUBOX6C0,30101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_MISS_CLEAN,EUBOX7C0,23644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
