STRUCT,Info,3,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon Phi(TM) CPU 7250 @ 1.40GHz,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Phi (Knights Landing) (Co)Processor,,,,,,,,,,,,,,,,
CPU clock:,1.399816146 GHz,,,,,,,,,,,,,,,,
TABLE,Region MMUL_Region,Group 1 Raw,HBM_CACHE,47,,,,,,,,,,,,,
Region Info,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,
RDTSC Runtime [s],0.000599,0.001652,0.001256,0.001331,0.002144,0.001800,0.001104,0.001733,0.001025,0.001407,0.002076,0.002013,0.002210,0.001893,0.001483,0.001183,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15
INSTR_RETIRED_ANY,FIXC0,20892460,30403680,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,23526430
CPU_CLK_UNHALTED_CORE,FIXC1,15790580,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19
CPU_CLK_UNHALTED_REF,FIXC2,28417580,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19
EDC_RPQ_INSERTS,EDBOX0C0,12594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX1C0,9559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX2C0,12451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX3C0,9299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX4C0,12163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX5C0,9334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX6C0,12226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX7C0,9365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX0C1,4818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX1C1,2227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX2C1,4737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX3C1,2744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX4C1,3656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX5C1,2175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX6C1,4321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX7C1,2659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_MISS_CLEAN,EUBOX0C0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_MISS_CLEAN,EUBOX1C0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_MISS_CLEAN,EUBOX2C0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_MISS_CLEAN,EUBOX3C0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_MISS_CLEAN,EUBOX4C0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_MISS_CLEAN,EUBOX5C0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_MISS_CLEAN,EUBOX6C0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_MISS_CLEAN,EUBOX7C0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_MISS_DIRTY,EUBOX0C1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_MISS_DIRTY,EUBOX1C1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_MISS_DIRTY,EUBOX2C1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_MISS_DIRTY,EUBOX3C1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_MISS_DIRTY,EUBOX4C1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_MISS_DIRTY,EUBOX5C1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_MISS_DIRTY,EUBOX6C1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_MISS_DIRTY,EUBOX7C1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_CAS_READS,MBOX0C0,1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_CAS_WRITES,MBOX0C1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_CAS_READS,MBOX1C0,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_CAS_WRITES,MBOX1C1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_CAS_READS,MBOX2C0,1415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_CAS_WRITES,MBOX2C1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_CAS_READS,MBOX4C0,1414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_CAS_WRITES,MBOX4C1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_CAS_READS,MBOX5C0,1419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_CAS_WRITES,MBOX5C1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_CAS_READS,MBOX6C0,1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MC_CAS_WRITES,MBOX6C1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TABLE,Region MMUL_Region,Group 1 Raw STAT,HBM_CACHE,47,,,,,,,,,,,,,
Event,Counter,Sum,Min,Max,Avg,,,,,,,,,,,,
INSTR_RETIRED_ANY STAT,FIXC0,2.398076e+20,20892460,1.844674e+19,1.498798e+19,,,,,,,,,,,,
CPU_CLK_UNHALTED_CORE STAT,FIXC1,2.767011e+20,15790580,1.844674e+19,1.729382e+19,,,,,,,,,,,,
CPU_CLK_UNHALTED_REF STAT,FIXC2,2.767011e+20,28417580,1.844674e+19,1.729382e+19,,,,,,,,,,,,
EDC_RPQ_INSERTS STAT,EDBOX0C0,12594,0,12594,787.1250,,,,,,,,,,,,
EDC_RPQ_INSERTS STAT,EDBOX1C0,9559,0,9559,597.4375,,,,,,,,,,,,
EDC_RPQ_INSERTS STAT,EDBOX2C0,12451,0,12451,778.1875,,,,,,,,,,,,
EDC_RPQ_INSERTS STAT,EDBOX3C0,9299,0,9299,581.1875,,,,,,,,,,,,
EDC_RPQ_INSERTS STAT,EDBOX4C0,12163,0,12163,760.1875,,,,,,,,,,,,
EDC_RPQ_INSERTS STAT,EDBOX5C0,9334,0,9334,583.3750,,,,,,,,,,,,
EDC_RPQ_INSERTS STAT,EDBOX6C0,12226,0,12226,764.1250,,,,,,,,,,,,
EDC_RPQ_INSERTS STAT,EDBOX7C0,9365,0,9365,585.3125,,,,,,,,,,,,
EDC_WPQ_INSERTS STAT,EDBOX0C1,4818,0,4818,301.1250,,,,,,,,,,,,
EDC_WPQ_INSERTS STAT,EDBOX1C1,2227,0,2227,139.1875,,,,,,,,,,,,
EDC_WPQ_INSERTS STAT,EDBOX2C1,4737,0,4737,296.0625,,,,,,,,,,,,
EDC_WPQ_INSERTS STAT,EDBOX3C1,2744,0,2744,171.5000,,,,,,,,,,,,
EDC_WPQ_INSERTS STAT,EDBOX4C1,3656,0,3656,228.5000,,,,,,,,,,,,
EDC_WPQ_INSERTS STAT,EDBOX5C1,2175,0,2175,135.9375,,,,,,,,,,,,
EDC_WPQ_INSERTS STAT,EDBOX6C1,4321,0,4321,270.0625,,,,,,,,,,,,
EDC_WPQ_INSERTS STAT,EDBOX7C1,2659,0,2659,166.1875,,,,,,,,,,,,
EDC_MISS_CLEAN STAT,EUBOX0C0,6,0,6,0.3750,,,,,,,,,,,,
EDC_MISS_CLEAN STAT,EUBOX1C0,5,0,5,0.3125,,,,,,,,,,,,
EDC_MISS_CLEAN STAT,EUBOX2C0,5,0,5,0.3125,,,,,,,,,,,,
EDC_MISS_CLEAN STAT,EUBOX3C0,1,0,1,0.0625,,,,,,,,,,,,
EDC_MISS_CLEAN STAT,EUBOX4C0,3,0,3,0.1875,,,,,,,,,,,,
EDC_MISS_CLEAN STAT,EUBOX5C0,0,0,0,0,,,,,,,,,,,,
EDC_MISS_CLEAN STAT,EUBOX6C0,4,0,4,0.2500,,,,,,,,,,,,
EDC_MISS_CLEAN STAT,EUBOX7C0,3,0,3,0.1875,,,,,,,,,,,,
EDC_MISS_DIRTY STAT,EUBOX0C1,2,0,2,0.1250,,,,,,,,,,,,
EDC_MISS_DIRTY STAT,EUBOX1C1,4,0,4,0.2500,,,,,,,,,,,,
EDC_MISS_DIRTY STAT,EUBOX2C1,4,0,4,0.2500,,,,,,,,,,,,
EDC_MISS_DIRTY STAT,EUBOX3C1,4,0,4,0.2500,,,,,,,,,,,,
EDC_MISS_DIRTY STAT,EUBOX4C1,6,0,6,0.3750,,,,,,,,,,,,
EDC_MISS_DIRTY STAT,EUBOX5C1,3,0,3,0.1875,,,,,,,,,,,,
EDC_MISS_DIRTY STAT,EUBOX6C1,5,0,5,0.3125,,,,,,,,,,,,
EDC_MISS_DIRTY STAT,EUBOX7C1,4,0,4,0.2500,,,,,,,,,,,,
MC_CAS_READS STAT,MBOX0C0,1417,0,1417,88.5625,,,,,,,,,,,,
MC_CAS_WRITES STAT,MBOX0C1,5,0,5,0.3125,,,,,,,,,,,,
MC_CAS_READS STAT,MBOX1C0,1416,0,1416,88.5000,,,,,,,,,,,,
MC_CAS_WRITES STAT,MBOX1C1,5,0,5,0.3125,,,,,,,,,,,,
MC_CAS_READS STAT,MBOX2C0,1415,0,1415,88.4375,,,,,,,,,,,,
MC_CAS_WRITES STAT,MBOX2C1,5,0,5,0.3125,,,,,,,,,,,,
MC_CAS_READS STAT,MBOX4C0,1414,0,1414,88.3750,,,,,,,,,,,,
MC_CAS_WRITES STAT,MBOX4C1,5,0,5,0.3125,,,,,,,,,,,,
MC_CAS_READS STAT,MBOX5C0,1419,0,1419,88.6875,,,,,,,,,,,,
MC_CAS_WRITES STAT,MBOX5C1,8,0,8,0.5000,,,,,,,,,,,,
MC_CAS_READS STAT,MBOX6C0,1417,0,1417,88.5625,,,,,,,,,,,,
MC_CAS_WRITES STAT,MBOX6C1,4,0,4,0.2500,,,,,,,,,,,,
TABLE,Region MMUL_Region,Group 1 Metric,HBM_CACHE,16,,,,,,,,,,,,,
Metric,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,
Runtime (RDTSC) [s],0.0006,0.0017,0.0013,0.0013,0.0021,0.0018,0.0011,0.0017,0.0010,0.0014,0.0021,0.0020,0.0022,0.0019,0.0015,0.0012,
Runtime unhalted [s],0.0113,1.317797e+10,1.317797e+10,1.317797e+10,1.317797e+10,1.317797e+10,1.317797e+10,1.317797e+10,1.317797e+10,1.317797e+10,1.317797e+10,1.317797e+10,1.317797e+10,1.317797e+10,1.317797e+10,1.317797e+10,
Clock [MHz],777.8252,1399.8161,1399.8161,1399.8161,1399.8161,1399.8161,1399.8161,1399.8161,1399.8161,1399.8161,1399.8161,1399.8161,1399.8161,1399.8161,1399.8161,1399.8161,
CPI,0.7558,6.067272e+11,1,1,1,1,1,1,1,1,1,1,1,1,1,7.840858e+11,
MCDRAM Memory read bandwidth [MBytes/s],9282.6838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MCDRAM Memory read data volume [GBytes],0.0056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MCDRAM Memory writeback bandwidth [MBytes/s],2011.6468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MCDRAM Memory writeback data volume [GBytes],0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MCDRAM Memory bandwidth [MBytes/s],11294.3306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MCDRAM Memory data volume [GBytes],0.0068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DDR Memory read bandwidth [MBytes/s],907.4247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DDR Memory read data volume [GBytes],0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DDR Memory writeback bandwidth [MBytes/s],3.4170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DDR Memory writeback data volume [GBytes],2.048000e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DDR Memory bandwidth [MBytes/s],910.8417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DDR Memory data volume [GBytes],0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TABLE,Region MMUL_Region,Group 1 Metric STAT,HBM_CACHE,16,,,,,,,,,,,,,
Metric,Sum,Min,Max,Avg,,,,,,,,,,,,,
Runtime (RDTSC) [s] STAT,0.0249,0.0006,0.0022,0.0016,,,,,,,,,,,,,
Runtime unhalted [s] STAT,1.976696e+11,0.0113,13177970000,1.235435e+10,,,,,,,,,,,,,
Clock [MHz] STAT,21775.0667,777.8252,1399.8161,1360.9417,,,,,,,,,,,,,
CPI STAT,1.390813e+12,0.7558,784085800000,8.692581e+10,,,,,,,,,,,,,
MCDRAM Memory read bandwidth [MBytes/s] STAT,9282.6838,0,9282.6838,580.1677,,,,,,,,,,,,,
MCDRAM Memory read data volume [GBytes] STAT,0.0056,0,0.0056,0.0003,,,,,,,,,,,,,
MCDRAM Memory writeback bandwidth [MBytes/s] STAT,2011.6468,0,2011.6468,125.7279,,,,,,,,,,,,,
MCDRAM Memory writeback data volume [GBytes] STAT,0.0012,0,0.0012,0.0001,,,,,,,,,,,,,
MCDRAM Memory bandwidth [MBytes/s] STAT,11294.3306,0,11294.3306,705.8957,,,,,,,,,,,,,
MCDRAM Memory data volume [GBytes] STAT,0.0068,0,0.0068,0.0004,,,,,,,,,,,,,
DDR Memory read bandwidth [MBytes/s] STAT,907.4247,0,907.4247,56.7140,,,,,,,,,,,,,
DDR Memory read data volume [GBytes] STAT,0.0005,0,0.0005,3.125000e-05,,,,,,,,,,,,,
DDR Memory writeback bandwidth [MBytes/s] STAT,3.4170,0,3.4170,0.2136,,,,,,,,,,,,,
DDR Memory writeback data volume [GBytes] STAT,2.048000e-06,0,2.048000e-06,1.280000e-07,,,,,,,,,,,,,
DDR Memory bandwidth [MBytes/s] STAT,910.8417,0,910.8417,56.9276,,,,,,,,,,,,,
DDR Memory data volume [GBytes] STAT,0.0005,0,0.0005,3.125000e-05,,,,,,,,,,,,,
