STRUCT,Info,3,,,,,,,,,,,,,,,
CPU name:,Intel(R) Xeon Phi(TM) CPU 7250 @ 1.40GHz,,,,,,,,,,,,,,,,
CPU type:,Intel Xeon Phi (Knights Landing) (Co)Processor,,,,,,,,,,,,,,,,
CPU clock:,1.399964703 GHz,,,,,,,,,,,,,,,,
TABLE,Region MMUL_Region,Group 1 Raw,HBM_CACHE,47,,,,,,,,,,,,,
Region Info,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15,
RDTSC Runtime [s],0.001960,0.001990,0.002426,0.002492,0.002765,0.002266,0.003005,0.003074,0.002700,0.002180,0.002097,0.003247,0.002564,0.002838,0.002348,0.002628,
call count,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Event,Counter,HWThread 0,HWThread 1,HWThread 2,HWThread 3,HWThread 4,HWThread 5,HWThread 6,HWThread 7,HWThread 8,HWThread 9,HWThread 10,HWThread 11,HWThread 12,HWThread 13,HWThread 14,HWThread 15
INSTR_RETIRED_ANY,FIXC0,22525760,460865100,331009600,354110200,210506000,336920600,238185200,245458900,305683400,392093100,293196700,183688500,373298100,293169500,346729000,838929500
CPU_CLK_UNHALTED_CORE,FIXC1,32277570,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19
CPU_CLK_UNHALTED_REF,FIXC2,30147260,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,1.844674e+19,305398500
EDC_RPQ_INSERTS,EDBOX0C0,10970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX1C0,9050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX2C0,10880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX3C0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX4C0,10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX5C0,8854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX6C0,10494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_RPQ_INSERTS,EDBOX7C0,8618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX0C1,4188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX1C1,3037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX2C1,3885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX3C1,3601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX4C1,4826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX5C1,3017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX6C1,4354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDC_WPQ_INSERTS,EDBOX7C1,3133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
