STRUCT,Info,3
CPU name:,Intel(R) Xeon Phi(TM) CPU 7250 @ 1.40GHz,
CPU type:,Intel Xeon Phi (Knights Landing) (Co)Processor,
CPU clock:,1.399784665 GHz,
TABLE,Region MMUL_Region,Group 1 Raw,HBM_CACHE,47
Region Info,HWThread 0,
RDTSC Runtime [s],0.136553,
call count,1,
Event,Counter,HWThread 0
INSTR_RETIRED_ANY,FIXC0,26186440
CPU_CLK_UNHALTED_CORE,FIXC1,21068820
CPU_CLK_UNHALTED_REF,FIXC2,19664570
EDC_RPQ_INSERTS,EDBOX0C0,274625
EDC_RPQ_INSERTS,EDBOX1C0,253926
EDC_RPQ_INSERTS,EDBOX2C0,273570
EDC_RPQ_INSERTS,EDBOX3C0,253263
EDC_RPQ_INSERTS,EDBOX4C0,274369
EDC_RPQ_INSERTS,EDBOX5C0,252253
EDC_RPQ_INSERTS,EDBOX6C0,273198
EDC_RPQ_INSERTS,EDBOX7C0,254418
EDC_WPQ_INSERTS,EDBOX0C1,76124
EDC_WPQ_INSERTS,EDBOX1C1,73055
EDC_WPQ_INSERTS,EDBOX2C1,75712
EDC_WPQ_INSERTS,EDBOX3C1,73533
EDC_WPQ_INSERTS,EDBOX4C1,75414
EDC_WPQ_INSERTS,EDBOX5C1,72612
EDC_WPQ_INSERTS,EDBOX6C1,76118
EDC_WPQ_INSERTS,EDBOX7C1,72443
EDC_MISS_CLEAN,EUBOX0C0,10205
EDC_MISS_CLEAN,EUBOX1C0,10245
EDC_MISS_CLEAN,EUBOX2C0,10254
EDC_MISS_CLEAN,EUBOX3C0,10250
EDC_MISS_CLEAN,EUBOX4C0,10213
EDC_MISS_CLEAN,EUBOX5C0,10229
EDC_MISS_CLEAN,EUBOX6C0,10209
EDC_MISS_CLEAN,EUBOX7C0,10257
EDC_MISS_DIRTY,EUBOX0C1,787
EDC_MISS_DIRTY,EUBOX1C1,771
EDC_MISS_DIRTY,EUBOX2C1,806
EDC_MISS_DIRTY,EUBOX3C1,745
EDC_MISS_DIRTY,EUBOX4C1,789
EDC_MISS_DIRTY,EUBOX5C1,782
EDC_MISS_DIRTY,EUBOX6C1,801
EDC_MISS_DIRTY,EUBOX7C1,770
MC_CAS_READS,MBOX0C0,40670
MC_CAS_WRITES,MBOX0C1,1048
MC_CAS_READS,MBOX1C0,40663
MC_CAS_WRITES,MBOX1C1,1072
MC_CAS_READS,MBOX2C0,40692
MC_CAS_WRITES,MBOX2C1,1034
MC_CAS_READS,MBOX4C0,40691
MC_CAS_WRITES,MBOX4C1,1070
MC_CAS_READS,MBOX5C0,40689
MC_CAS_WRITES,MBOX5C1,1044
MC_CAS_READS,MBOX6C0,40714
MC_CAS_WRITES,MBOX6C1,1030
TABLE,Region MMUL_Region,Group 1 Metric,HBM_CACHE,16
Metric,HWThread 0,
Runtime (RDTSC) [s],0.1366,
Runtime unhalted [s],0.0151,
Clock [MHz],1499.7435,
CPI,0.8046,
MCDRAM Memory read bandwidth [MBytes/s],947.4438,
MCDRAM Memory read data volume [GBytes],0.1294,
MCDRAM Memory writeback bandwidth [MBytes/s],164.4566,
MCDRAM Memory writeback data volume [GBytes],0.0225,
MCDRAM Memory bandwidth [MBytes/s],1111.9004,
MCDRAM Memory data volume [GBytes],0.1518,
DDR Memory read bandwidth [MBytes/s],114.4140,
DDR Memory read data volume [GBytes],0.0156,
DDR Memory writeback bandwidth [MBytes/s],2.9518,
DDR Memory writeback data volume [GBytes],0.0004,
DDR Memory bandwidth [MBytes/s],117.3658,
DDR Memory data volume [GBytes],0.0160,
